11875;1100-1200;;CHN;China Radio Int.;AM;SEA;k;0;;
11875;1600-1700;;CHN;China Radio Int.;R;EEu;u;0;;
11875;1700-1800;;CHN;China Radio Int.;R;EEu;u;0;;
11875;1230-1300;;CVA;Radio Vaticana;R;Sib;/PHL-t;0;;
11875;0230-0330;;G;BBC;FS;IRN;/UZB;6;2603;2209
11875;0330-0430;;G;BBC;FS;IRN;/OMA-a;6;2603;2209
11875;0430-0530;;G;BBC;FS;IRN;/OMA-a;6;2209;2910
11875;1800-1830;;G;BBC;F;NAf;w;0;;
11875;1900-1915;SaSu;S;IBRA Radio Ibrahim;FUJ;WAf;/G-w;6;2603;3004
11875;1900-1930;Mo-Fr;S;IBRA Radio Ibrahim;FU;WAf;/G-w;6;2603;3004
11875;1915-1930;SaSu;S;IBRA Radio Ibrahim;KNU;WAf;/G-w;6;2603;3004
11875;1930-1945;Mo;S;IBRA Radio Ibrahim;DY;WAf;/G-w;6;2603;3004
11875;1930-1945;Su;S;IBRA Radio Ibrahim;MLK;WAf;/G-w;6;2603;3004
11875;1930-1945;Th-Sa;S;IBRA Radio Ibrahim;TMJ;WAf;/G-w;6;2603;3004
11875;1930-1945;Tu-We;S;IBRA Radio Ibrahim;ZA;WAf;/G-w;6;2603;3004
11875;1945-2000;SaSu;S;IBRA Radio Ibrahim;BM;WAf;/G-w;6;2603;3004
11875;1945-2000;Mo-Fr;S;IBRA Radio Ibrahim;HA;WAf;/G-w;6;2603;3004
11880;1400-1427;;PHL;Radio Veritas Asia;BE;SAs;p;6;107;2910
11880;1600-1700;;CHN;China Radio Int.;HK;SAf;x;0;;
11880;2200-2230;;CUB;Radio Habana Cuba;F;Af;b;3;;
11880;2230-2300;;CUB;Radio Habana Cuba;P;Af;b;3;;
11880;2230-2300;;CUB;Radio Habana Cuba;CR;Af;b;6;904;904
11880;2230-2300;Su;CUB;Radio Habana Cuba;EO;Af;b;3;;
11880;2300-2400;;CUB;Radio Habana Cuba;E;Af;b;3;;
11880;2300-2400;;CUB;Radio Habana Cuba;E;Af;b;4;;
11880;1450-1550;;IRN;IRIB Voice of I.R.Iran;UZ;CAs;a;0;;
11880;1400-1427;;PHL;Radio Veritas Asia;BE;SAs;p;6;2603;3006
11880;1330-1400;;TUR;Voice of Turkey;KZ;CAs;e;0;;
11880;0600-0700;;USA;Adventist World Radio;A;NAf;/AUT;0;;
11880;0700-0730;;USA;Adventist World Radio;F;WAf;/F;0;;
11880;2000-2030;;USA;Adventist World Radio;DY;WAf;/AUT;0;;
11880;2100-2130;;USA;Adventist World Radio;E;WAf;/AUT;0;;
11885;0800-1000;;ALS;KNLS New Life Station;M;FE;ap;0;;
11885;1000-1200;;ALS;KNLS New Life Station;M;FE;ap;6;506;1306
11885;1200-1300;;ALS;KNLS New Life Station;E;FE;ap;6;506;1306
11885;1200-1300;;ALS;KNLS New Life Station;E;FE;ap;6;2106;2106
11885;1300-1400;;ALS;KNLS New Life Station;M;FE;ap;6;506;1306
11885;1300-1400;;ALS;KNLS New Life Station;M;FE;ap;6;1906;2106
11885;1400-1500;;ALS;KNLS New Life Station;M;FE;ap;6;506;1306
11885;1400-1500;;ALS;KNLS New Life Station;M;FE;ap;6;2506;2506
11885;1500-1800;;ALS;KNLS New Life Station;M;FE;ap;6;506;1306
11885;0000-0030;;CHN;China National Radio 13;UI;CHN;uc;5;;
11885;0000-0100;;CHN;China Radio Int.;E;SEA;x;0;;
11885;2200-2400;;CHN;CNR1 Jammer/Firedrake;M;FE;;1;;
11885;0030-1800;;CHN;PBS Xinjiang;UI;CHN;uc;5;;
11885;0300-1135;;CHN;PBS Xinjiang;UI;CHN;uc;4;;
11885;1135-1200;;CHN;PBS Xinjiang;UI;CHN;uc;4;;
11885;2310-2400;;CHN;PBS Xinjiang;UI;CHN;uc;5;;
11885;1930-2000;;USA;Adventist World Radio;IG;WAf;/F;0;;
11890.6;0100-0700;;TWN;Sound of Hope;M;FE;;6;2603;3105[0417]
11890.6;0700-0800;;TWN;Sound of Hope;M;FE;;6;2603;3105
11890.6;0800-1000;;TWN;Sound of Hope;M;FE;;6;2603;3105
11890.6;1000-1100;;TWN;Sound of Hope;M;FE;;6;2603;3105
11890.6;1100-1400;;TWN;Sound of Hope;M;FE;;6;2603;3105
11890.6;1400-1500;;TWN;Sound of Hope;M;FE;;6;2603;3105
11890.6;1500-1600;;TWN;Sound of Hope;M;FE;;6;2603;3105
11890.6;1600-1700;;TWN;Sound of Hope;M;FE;;6;2603;3105
11890.6;2100-2200;;TWN;Sound of Hope;M;FE;;6;2603;3105
11890.6;2200-2300;;TWN;Sound of Hope;M;FE;;6;2603;3105
11890.6;2300-0100;;TWN;Sound of Hope;M;FE;;6;2603;3105
11895;0500-0600;;CHN;China Radio Int.;E;SAs;ka;0;;
11895;0600-0700;;CHN;China Radio Int.;E;SAs;ka;0;;
11895;0700-0900;;CHN;China Radio Int.;E;SAs;ka;0;;
11895;0900-1000;;CHN;China Radio Int.;M;SEA;n;0;;
11895;1000-1100;;CHN;China Radio Int.;E;Sib;x;0;;
11895;1800-1900;;CHN;China Radio Int.;AM;SEu;x;0;;
11895;1900-2000;;CHN;China Radio Int.;CA;Eu;ka;0;;
11895.2;1000-2308;;B;R.Boa Vontade, P.Alegre;P;B;e;3;;[0917]
11900;0000-0100;;CHN;China Radio Int.;M;FE;b;0;;
11900;1400-1500;;CHN;China Radio Int.;SI;CLN;j;0;;
11900;1600-1700;;CHN;China Radio Int.;E;EAf;j;0;;
11900;1700-1800;;CHN;China Radio Int.;E;EAf;j;0;;
11900;2300-2400;;CHN;China Radio Int.;M;FE;b;0;;
11900;2200-2230;;CVA;Radio Vaticana;M;FE;/MRA-t;0;;
11900;2310-2400;;CVA;Radio Vaticana;VN;SEA;/PHL-t;0;;
11900;1530-1600;;ROU;Radio Romania Int.;RO;ME;g;0;;
11900;1300-1330;;USA;Adventist World Radio;KH;SEA;/GUM-a;0;;
11900;1500-1530;;USA;Adventist World Radio;NE;SAs;/GUM-a;0;;
11900;2000-2030;;USA;Voice of America;F;Af;/STP;0;;
11900;2030-2100;SaSu;USA;Voice of America;F;Af;/KWT;0;;
11900;2100-2130;Mo-Fr;USA;Voice of America;F;Af;/STP;0;;
11900;2130-2200;Mo-Fr;USA;Voice of America;BM;WAf;/CVA;0;;
11905;1115-1145;Su-Fr;AUS;Reach Beyond Australia;IN;INS;ku;0;;
11905;1115-1145;Sa;AUS;Reach Beyond Australia;JV;INS;ku;0;;
11905;1145-1200;Tu,Th;AUS;Reach Beyond Australia;E;INS;ku;0;;
11905;1145-1200;13567;AUS;Reach Beyond Australia;IN;INS;ku;0;;
11905;0100-0500;;CHN;China National Radio 6;AM;CHN;B;1;;
11905;0500-0600;;CHN;China National Radio 6;HK;CHN;B;1;;
11905;0600-0900;Th-Tu;CHN;China National Radio 6;HK;CHN;B;1;;
11905;0115-0232;;CLN;Sri Lanka BC;HI;SAs;t;1;;[0917]
11905;0600-0700;;F;Radio France Int.;E;CAf;;0;;
11910;1200-1300;;CHN;China Radio Int.;AM;SEA;b;0;;
11910;1300-1400;;CHN;China Radio Int.;E;SEA;b;0;;
11910;1500-1600;;G;BBC;UR;SAs;/UAE;0;;
11910;2100-2400;;J;NHK Radio Japan;J;FE;y;0;;
11910;1830-1930;;KRE;Voice of Korea;F;SAf;u;1;;
11910;1930-2030;;KRE;Voice of Korea;E;SAf;u;1;;
11910;2030-2130;;KRE;Voice of Korea KCBS;K;SAf;u;1;;
11910;1400-1500;;ROU;Radio Romania Int.;D;WEu;t;0;;
11910;1600-1700;;USA;Radio Liberty;TJ;CAs;/D-L;0;;
11915;1800-2300;;ARS;BSKSA Holy Quran;A;NAf;;1;;
11915;0800-0400;;B;Radio Gaucha, P.Alegre;P;SAm;gb;3;;[0417]
11915;1100-1200;;CHN;CNR1 Jammer/Firedrake;M;FE;;1;;
11915;1200-1300;;CHN;CNR1 Jammer/Firedrake;M;FE;;1;;
11915;0030-0600;;CHN;CNR 2 China Business R.;M;CHN;as;1;;
11915;0600-0855;Th-Tu;CHN;CNR 2 China Business R.;M;CHN;as;1;;
11915;0855-1000;;CHN;CNR 2 China Business R.;M;CHN;as;4;;
11915;0855-1300;;CHN;CNR 2 China Business R.;M;CHN;as;5;;
11915;1000-1100;;TWN;Radio Taiwan Int.;IN;INS;p;1;;
11915;1100-1200;;TWN;Radio Taiwan Int.;M;INS;p;1;;
11915;1200-1300;;TWN;Radio Taiwan Int.;IN;SEA;p;1;;
11915;1300-1400;;TWN;Radio Taiwan Int.;AM;SEA;p;1;;
11916.1;0800-0400;;B;Radio Gaucha, P.Alegre;P;SAm;gb;3;;[0116]
11920;1400-1600;;CHN;China Radio Int.;F;NAf;/ALB-c;0;;
11925;0000-2400;;B;Radio Bandeirantes, SP;P;B;sb;1;;[0317]
11925;1000-1805;;CHN;China National Radio 1;M;CHN;L;4;;
11925;1200-1805;;CHN;China National Radio 1;M;CHN;L;5;;
11925;2023-2330;;CHN;China National Radio 1;M;CHN;L;5;;
11925;2023-0200;;CHN;China National Radio 1;M;CHN;L;4;;
11925;0420-0550;;IRN;IRIB Voice of I.R.Iran;TU;ME;k;8;;
11925;0000-0100;;USA;Adventist World Radio;M;FE;/CLN-t;0;;
11925;0630-0930;;USA;Radio Farda;FS;IRN;/D-b;6;2603;3006
11925;0930-1100;;USA;Radio Farda;FS;IRN;/D-L;6;2603;3006
11930;1800-2300;;ARS;BSKSA Holy Quran;A;WAf;;1;;
11930;1630-1730;;TUR;Voice of Turkey;S;Eu;e;0;;
11930;1400-2000;;USA;Radio Marti;S;CUB;g;0;;
11930;2000-2400;;USA;Radio Marti;S;CUB;g;0;;
11934.9;0000-2400;;B;RB2 R.Clube Paranaense;P;B;c2;6;2603;3004
11934.9;0000-2400;;B;Radio Evangelizar;P;B;c2;1;105;[0917]
11935;0000-0600;;CHN;China National Radio 5;M;CHN;B;1;;
11935;0600-0900;Th-Tu;CHN;China National Radio 5;M;CHN;B;1;;
11935;2300-2400;;CHN;China National Radio 5;M;CHN;B;5;;
11935;1000-1100;;CHN;China Radio Int.;R;Sib;s;0;;
11935;1100-1200;;CHN;China Radio Int.;R;Sib;s;0;;
11935;1200-1300;;CHN;China Radio Int.;R;Sib;s;0;;
11935;0500-0530;;CVA;Radio Vaticana;A;ME;;4;;
11935;1530-1600;;CVA;Radio Vaticana;A;EGY;;5;;
11935;1630-1700;;CVA;Radio Vaticana;A;ME;;4;;
11935;1700-1715;;CVA;Radio Vaticana;F;ME;;4;;
11935;1715-1730;;CVA;Radio Vaticana;E;ME;;4;;
11935;1300-1315;;GUM;KTWR Trans World Radio;SNT;SAs;m;4;;
11935;1315-1330;Sa;GUM;KTWR Trans World Radio;MEI;SAs;m;4;;
11935;1315-1330;Su;GUM;KTWR Trans World Radio;TEL;SAs;m;4;;
11935;1315-1345;Mo-Fr;GUM;KTWR Trans World Radio;ASS;SAs;m;4;;
11935;1330-1345;Su;GUM;KTWR Trans World Radio;HI;SAs;m;4;;
11935;1330-1345;Sa;GUM;KTWR Trans World Radio;NE;SAs;m;4;;
11935;1745-1945;;IND;All India Radio GOS;E;EAf;m;1;;
11935;1400-1430;;J;NHK Radio Japan;E;SAs;/UZB;0;;
11935;1200-1227;;PHL;Radio Veritas Asia;HM;SEA;p;0;;
11935;1500-1530;;USA;Adventist World Radio;TU;ME;/AUT;0;;
11940;1600-1700;;CHN;China Radio Int.;E;Eu;ka;6;2603;509
11940;1600-1700;;CHN;China Radio Int.;E;Eu;ka;6;2709;2910
11940;2030-2100;;CHN;China Radio Int.;BU;SEE;k;0;;
11945;0100-0200;;CHN;China Radio Int.;AM;SEA;k;0;;
11945;2300-2400;;CHN;China Radio Int.;CA;SEA;k;0;;
11945;0100-0200;;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
11945;1229-1300;;CVA;Radio Vaticana;M;FE;/PHL-p;0;;
11945;1300-1315;Sa;CVA;Radio Vaticana;M;FE;/PHL-p;0;;
11945;1315-1400;;CVA;Radio Vaticana;VN;SEA;/PHL-t;0;;
11945;0500-0600;Sa;G;BBC;KNK;EAf;/AFS;0;;
11945;0529-0600;Su;G;BBC;KNK;EAf;/AFS;0;;
11945;0200-0215;Tu,Fr;G;Bible Voice;E;IND;/ARM;0;;
11945;0200-0230;Th,Sa;G;Bible Voice;E;IND;/ARM;6;2603;3105
11945;0200-0230;467;G;Bible Voice;E;IND;/ARM;6;106;2910
11945;0200-0300;Su;G;Bible Voice;E;IND;/ARM;6;2603;3105
11945;1700-1900;;J;NHK Radio Japan;J;SAf;/F;0;;
11945;1900-2000;;MDG;MWV Radio Feda;A;ME;m;0;;
11945;1000-1130;;PHL;Radio Veritas Asia;M;FE;p;0;;
11945;0200-0300;;ROU;Radio Romania Int.;S;SAm;g;0;;
11945;0800-0810;Tu;RUS;S06 Russian Spy Numbers;R;RUS;xx;1;111;2802[0217]
11945;0100-0200;;USA;Radio Free Asia;UI;FE;/KWT;0;;
11945;2100-2200;;USA;Radio Free Asia;K;FE;/MRA-s;0;;
11945.1;0400-0500;;G;BBC;E;EAf;/UAE;0;;
11950;0300-0600;;CHN;PBS Xizang;M;CHN;t;1;;
11950;0600-0900;We-Mo;CHN;PBS Xizang;M;CHN;t;1;;
11950;0000-0100;Tu-Fr;CUB;Radio Habana Cuba;S;CNA;b;4;;
11950;2300-2400;Mo-Th;CUB;Radio Habana Cuba;S;CNA;b;5;;
11950;2300-2400;;CUB;Radio Habana Cuba;S;CNA;b;4;;
11950;1300-1500;;ROU;Radio Romania Int.;RO;SEu;g;6;2603;2604
11950;1300-1500;;ROU;Radio Romania Int.;RO;SEu;g;6;2804;2910
11950;1400-1500;;ROU;Radio Romania Int.;RO;SEu;g;6;2704;2704
11950;1600-1700;;ROU;Radio Romania Int.;F;SEu;g;0;;
11955;1130-1200;;CHN;China Radio Int.;TAG;PHL;k;0;;
11955;1200-1230;;CHN;China Radio Int.;TAG;PHL;k;0;;
11955;1230-1330;;CHN;China Radio Int.;ML;INS;k;0;;
11955;1330-1430;;CHN;China Radio Int.;IN;INS;k;0;;
11955;2300-2400;;CHN;China Radio Int.;E;PHL;k;0;;
11955;1700-1800;;TWN;Radio Taiwan Int.;R;EEu;/F;0;;
11955;1420-1520;;IRN;IRIB Voice of I.R.Iran;HI;SAs;s;0;;
11955;0600-1200;;TUR;Voice of Turkey;TU;ME;e;0;;
11955;0505-0535;;USA;Adventist World Radio;HA;CAf;/AUT;0;;
11955;1800-1900;;USA;Adventist World Radio;A;NAf;/AUT;0;;
11955;1900-1930;;USA;Adventist World Radio;HA;CAf;/AUT;0;;
11955;1930-2000;;USA;Adventist World Radio;TAH;NAf;/D-n;0;;
11955;2030-2100;Mo-Sa;USA;Voice of America;HA;WAf;/BOT;0;;
11960;0000-0600;;CHN;China National Radio 1;M;CHN;b;1;;
11960;0600-0900;We-Mo;CHN;China National Radio 1;M;CHN;b;1;;
11960;2100-2200;;USA;Radio Free Asia;K;FE;/MRA-t;6;107;2910
11965;1600-1700;;CHN;China Radio Int.;E;Eu;ka;6;2603;509
11965;1600-1700;;CHN;China Radio Int.;E;Eu;ka;6;2709;2910
11965;1700-1730;;CLA;Dimtse Radio Erena;TIG;ERI;/BUL-s;6;2603;1806
11965;1700-1730;;CLA;Dimtse Radio Erena;TIG;ERI;/BUL-s;6;2006;2910
11965;1730-1800;Mo-Fr;CLA;Dimtse Radio Erena;A;ERI;/BUL-s;6;2603;1806
11965;1730-1800;Mo-Fr;CLA;Dimtse Radio Erena;A;ERI;/BUL-s;6;2006;2910
11965;1730-1800;SaSu;CLA;Dimtse Radio Erena;TIG;ERI;/BUL-s;6;2603;1806
11965;1730-1800;SaSu;CLA;Dimtse Radio Erena;TIG;ERI;/BUL-s;6;2006;2910
11965;1000-1030;Su;GUM;KTWR Trans World Radio;E;INS;m;1;;
11965;1000-1030;Mo-Fr;GUM;KTWR Trans World Radio;MAD;INS;m;1;;
11965;1030-1100;Mo-Fr;GUM;KTWR Trans World Radio;SUN;INS;m;1;;
11965;1030-1100;Su;GUM;KTWR Trans World Radio;IN;SEA;m;1;;
11965;1030-1130;Su;GUM;KTWR Trans World Radio;E;SEA;m;1;;
11965;1100-1105;Mo;GUM;KTWR Trans World Radio;E;SEA;m;1;;
11965;1100-1125;Tu-Fr;GUM;KTWR Trans World Radio;E;SEA;m;1;;
11965;1720-1820;;IRN;IRIB Voice of I.R.Iran;SWA;EAf;k;8;;
11965;1300-1400;;TUR;Voice of Turkey;R;EEu;e;0;;
11965;1200-1230;;USA;Voice of America;BR;SEA;/PHL-t;0;;
11965;1430-1530;;USA;Voice of America;BR;SEA;/THA-u;0;;
11970;1600-1630;Tu,Sa;CLA;Radio Xoriyo;SO;EAf;/F;4;;
11970;0500-0530;;J;NHK Radio Japan;E;SAf;/F;0;;
11970;0630-0700;;ROU;Radio Romania Int.;A;NAf;t;0;;
11970;0100-0700;;TWN;Sound of Hope;M;FE;;1;;[0617]
11970;0700-0800;;TWN;Sound of Hope;M;FE;;1;;
11970;0800-1000;;TWN;Sound of Hope;M;FE;;1;;
11970;1000-1100;;TWN;Sound of Hope;M;FE;;1;;
11970;1100-1400;;TWN;Sound of Hope;M;FE;;1;;[1214]
11970;1400-1500;;TWN;Sound of Hope;M;FE;;1;;
11970;1500-1600;;TWN;Sound of Hope;M;FE;;1;;
11970;1600-1700;;TWN;Sound of Hope;M;FE;;1;;
11970;2100-2200;;TWN;Sound of Hope;M;FE;;1;;
11970;2200-2300;;TWN;Sound of Hope;M;FE;;1;;
11970;2300-0100;;TWN;Sound of Hope;M;FE;;1;;
11975;0000-0100;;CHN;China Radio Int.;M;SEA;k;0;;
11975;2130-2230;;CHN;China Radio Int.;F;NAf;/MLI;0;;
11975;2230-2300;;CHN;China Radio Int.;M;NAf;/MLI;0;;
11975;2300-2400;;CHN;China Radio Int.;M;NAf;/MLI;0;;
11975;0305-0530;;CHN;PBS Xinjiang;KG;CHN;uc;5;;
11975;1005-1230;;CHN;PBS Xinjiang;KG;CHN;uc;5;;
11975;0600-0630;;J;NHK Radio Japan;A;NAf;/F;0;;
11975;1700-1800;;ROU;Radio Romania Int.;RO;SEu;g;0;;
11975;1700-1800;;ROU;Radio Romania Int.;E;SEu;g;6;907;907
11975;1800-1900;;ROU;Radio Romania Int.;RO;SEu;g;0;;
11975;1900-2000;;ROU;Radio Romania Int.;RO;SEu;g;0;;
11975;1530-1600;;USA;Adventist World Radio;MAR;SAs;/CLN-t;0;;
11975;1600-1630;;USA;Adventist World Radio;E;SAs;/CLN-t;0;;
11980;0100-0200;;CHN;China Radio Int.;AM;INS;k;0;;
11980;0900-1100;;CHN;China Radio Int.;M;INS;k;0;;
11980;1200-1300;;CHN;China Radio Int.;E;SEA;k;0;;
11980;1300-1400;;CHN;China Radio Int.;E;SEA;k;0;;
11980;1400-1500;;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
11980;0400-0600;;TUR;Voice of Turkey;TU;CEu;e;0;;
11980;0600-0800;;TUR;Voice of Turkey;TU;CEu;e;6;107;107
11980;1400-1500;;USA;Voice of America;M;FE;/PHL-t;0;;
11985;0600-0700;;ALG;Radio Algerienne;A;WAf;/F;6;309;2810
11985;1100-1200;;CHN;China Radio Int.;MO;MNG;u;0;;
11985;1200-1300;;CHN;CNR1 Jammer/Firedrake;M;FE;;1;;
11985;1820-1920;;IRN;IRIB Voice of I.R.Iran;AL;Eu;k;8;;
11985;2030-2100;;J;NHK Radio Japan;F;WAf;/MDG;0;;
11985;1100-1200;;TWN;Radio Taiwan Int.;R;FE;s;6;2603;3004
11985;1200-1300;;TWN;Radio Taiwan Int.;M;FE;s;0;;
11985;1530-1600;;USA;Adventist World Radio;HI;SAs;/UZB;0;;
11985;1600-1630;;USA;Adventist World Radio;E;SAs;/UZB;0;;
11985;1700-1800;;USA;Radio Free Asia;K;FE;/MRA-t;0;;
11985;1630-1700;Mo-Fr;USA;Voice of America;E;EAf;/AFS;0;;
11990;0000-0100;;CHN;China Radio Int.;KH;SEA;n;0;;
11990;2300-2400;;CHN;China Radio Int.;KH;SEA;n;0;;
11990;0815-0845;;J;NHK Radio Japan;K;FE;y;8;;
11990;1200-1230;;TUR;Voice of Turkey;TK;CAs;e;0;;
11995;0600-0630;;F;Radio France Int.;HA;CAf;;0;;
11995;1900-2000;;F;Radio France Int.;F;CAf;;0;;
11995;2000-2159;;F;Radio France Int.;F;WAf;;6;309;2810
11995;0100-0130;;G;BBC;HI;SAs;/SNG;0;;
11995;0130-0200;;G;BBC;BE;SAs;/SNG;6;1505;2910
11995;0200-0230;;G;BBC;BR;SEA;/SNG;0;;
11995;0400-0430;;G;BBC;SO;EAf;/MDG;0;;
11995;1330-1415;;G;BBC;BR;SEA;/UZB;0;;
11995;1415-1500;Mo-Fr;G;BBC;BR;SEA;/SNG;0;;
11995;1545-1600;;G;BBC;TAM;CLN;/ARM;6;2603;3004
11995;1630-1700;;G;BBC;SI;CLN;/ARM;6;2603;2904
11995;1800-1830;;G;BBC;F;WAf;/ASC;0;;
11995;1000-1025;Mo-Fr;GUM;KTWR Trans World Radio;E;Oc;m;1;;
11995;1000-1045;Sa;GUM;KTWR Trans World Radio;E;Oc;m;1;;
11995;0430-0530;Mo-Fr;USA;Voice of America;KNK;EAf;/STP;0;;
12000;0300-0400;;CHN;China Radio Int.;E;SAs;ka;0;;
12005;1000-1100;;CHN;China Radio Int.;CA;Oc;k;0;;
12005;0045-0200;;EGY;Radio Cairo;S;SAm;a;0;;
12005;2215-2330;;EGY;Radio Cairo;P;SAm;a;0;;
12005;2330-0045;;EGY;Radio Cairo;A;SAm;a;0;;
12005;1100-1300;;USA;Radio Farda;FS;IRN;/D-L;0;;
12005;1300-1800;;USA;Radio Farda;FS;IRN;/G-w;0;;
12005;1900-1930;Su;XUU;Follow the Bible Min.;E;SAf;/ASC;1;;
12010;1400-1500;;CHN;China Radio Int.;VN;SEA;a;0;;
12010;0200-0330;;PHL;Radyo Pilipinas;E;ME;t;0;;
12015;1700-1800;;CHN;China Radio Int.;E;Eu;b;0;;
12015;0500-0700;;G;BBC;A;EAf;/OMA-a;6;2603;805
12015;0500-0700;Th-Mo;G;BBC;A;EAf;/OMA-a;6;905;1505
12015;0500-0700;Tu-We;G;BBC;A;EAf;/UAE;6;905;1505
12015;0500-0700;;G;BBC;A;EAf;/OMA-a;6;1605;1206
12015;0500-0700;Th-Mo;G;BBC;A;EAf;/OMA-a;6;1306;1606
12015;0500-0700;Tu-We;G;BBC;A;EAf;/UAE;6;1306;1606
12015;0500-0700;;G;BBC;A;EAf;/OMA-a;6;1706;1109
12015;0500-0700;Th-Mo;G;BBC;A;EAf;/OMA-a;6;1209;1809
12015;0500-0700;Tu-We;G;BBC;A;EAf;/UAE;6;1209;1809
12015;0500-0700;;G;BBC;A;EAf;/OMA-a;6;1909;2910
12015;1820-1920;;IRN;IRIB Voice of I.R.Iran;HA;WAf;k;8;;
12015;0400-0430;;J;NHK Radio Japan;S;SAm;/USA-c;0;;
12015;1330-1430;;KRE;Voice of Korea;E;Eu;u;4;;
12015;1430-1530;;KRE;Voice of Korea;F;Eu;u;4;;
12015;1530-1630;;KRE;Voice of Korea;E;Eu;u;4;;
12015;1630-1730;;KRE;Voice of Korea;F;Eu;u;4;;
12015;1730-1830;;KRE;Voice of Korea KCBS;K;Eu;u;4;;
12015;1830-1930;;KRE;Voice of Korea;E;Eu;u;4;;
12015;1930-2030;;KRE;Voice of Korea;S;Eu;u;4;;
12015;2030-2130;;KRE;Voice of Korea;F;Eu;u;4;;
12015;2130-2230;;KRE;Voice of Korea;E;Eu;u;4;;
12015;2230-2330;;KRE;Voice of Korea;S;Eu;u;4;;
12015;2330-0030;;KRE;Voice of Korea KCBS;K;Eu;u;4;;
12015;1430-1630;;KRE;Voice of Korea;R;Eu;u;5;;
12015;1630-1730;;KRE;Voice of Korea;D;Eu;u;5;;
12015;1730-1830;;KRE;Voice of Korea;R;Eu;u;5;;
12015;1830-1930;;KRE;Voice of Korea;D;Eu;u;5;;
12015;1930-2030;;KRE;Voice of Korea;D;Eu;u;5;;
12015;2030-2130;;KRE;Voice of Korea KCBS;K;Eu;u;5;;
12015;1400-1430;;MNG;Voice of Mongolia;M;As;u;1;;
12015;1430-1500;;MNG;Voice of Mongolia;MO;As;u;1;;
12015;1500-1530;;MNG;Voice of Mongolia;J;As;u;1;;
12015;1530-1600;;MNG;Voice of Mongolia;E;As;u;1;;
12015;2200-0200;;OMA;Radio Sultanate Oman;A;Eu;t;6;2603;3007[0717]
12015;2200-0200;;OMA;Radio Sultanate Oman;E;Eu;t;1;3107;[0817]
12015;0800-0900;;USA;World Harvest Radio 1;E;Oc;c;8;;
12015;0900-1000;Su-Fr;USA;World Harvest Radio 1;E;Oc;c;0;;
12015;0900-1000;Sa;USA;World Harvest Radio 1;E;Oc;c;8;;
12015;1000-1030;Su;USA;World Harvest Radio 1;E;Oc;c;0;;
12019;1000-1030;;VTN;Voice of Vietnam;E;INS;s;1;;
12019;1030-1100;;VTN;Voice of Vietnam;IN;INS;s;1;;
12019;1100-1130;;VTN;Voice of Vietnam;J;FE;s;1;;
12019;1130-1200;;VTN;Voice of Vietnam;E;FE;s;1;;
12019;1200-1230;;VTN;Voice of Vietnam;J;FE;s;1;;
12019;1230-1300;;VTN;Voice of Vietnam;E;INS;s;1;;
12019;1300-1330;;VTN;Voice of Vietnam;IN;INS;s;1;;
12019;1330-1400;;VTN;Voice of Vietnam;E;FE;s;1;;
12019;1400-1430;;VTN;Voice of Vietnam;J;FE;s;1;;
12019;1430-1500;;VTN;Voice of Vietnam;IN;INS;s;1;;
12019;1500-1530;;VTN;Voice of Vietnam;E;INS;s;1;;
12019;2200-2230;;VTN;Voice of Vietnam;J;INS;s;1;;
12019;2230-2300;;VTN;Voice of Vietnam;M;INS;s;1;;
12019;2300-2330;;VTN;Voice of Vietnam;IN;INS;s;1;;
12019;2330-2400;;VTN;Voice of Vietnam;E;INS;s;1;;
12025;1400-1500;;CHN;China Radio Int.;M;CAs;u;0;;
12025;1615-1730;;IND;All India Radio GOS;HI;ME;p;1;;
12025;1730-1830;;IND;All India Radio GOS;MAL;ME;p;1;;
12025;0020-0220;;IRN;IRIB Voice of I.R.Iran;S;CAm;k;8;;
12025;0320-0420;;IRN;IRIB Voice of Palestine;A;ME;s;0;;
12025;1530-1600;;USA;Adventist World Radio;GU;PAK;/UZB;0;;
12030;0420-0450;;IRN;IRIB Voice of I.R.Iran;HB;ME;s;0;;
12030;1100-1200;;TWN;Radio Taiwan Int.;R;FE;s;1;105;
12030;1730-1740;;TWN;Radio Taiwan Int.;D;Eu;s;6;607;607
12030;1745-1755;;TWN;Radio Taiwan DIGITAL;D;Eu;s;6;607;607
12030;1800-1900;25Aug;TWN;Radio Taiwan Int.;D;Eu;s;6;2907;2508
12030;1800-1900;26Aug;TWN;Radio Taiwan Int.;D;Eu;s;6;2907;2608
12030;1800-1900;27Aug;TWN;Radio Taiwan Int.;D;Eu;s;6;2907;2708
12030;1800-1900;1Sep;TWN;Radio Taiwan Int.;D;Eu;s;6;2907;109
12030;1800-1900;2Sep;TWN;Radio Taiwan Int.;D;Eu;s;6;2907;209
12030;1800-1900;3Sep;TWN;Radio Taiwan Int.;D;Eu;s;6;2907;309
12030;1800-1900;29Sep;TWN;Radio Taiwan Int.;D;Eu;s;6;2907;2909
12030;1800-1900;30Sep;TWN;Radio Taiwan Int.;D;Eu;s;6;2907;3009
12030;1800-1900;1Oct;TWN;Radio Taiwan Int.;D;Eu;s;6;2907;110
12030;1800-1900;3Oct;TWN;Radio Taiwan Int.;D;Eu;s;6;2907;310
